bezirk,gruppe,jahr_2010,jahr_2022,differenz_2022_minus_2010
Adlikon,mean_kinder_0_12,6.529411764705882,5.410958904109589,-1.1184528605962933
Adlikon,mean_erw_18_64,44.681481481481484,43.1151832460733,-1.5662982354081834
Adlikon,mean_erw_65plus,74.58064516129032,74.22222222222223,-0.35842293906809175
Adliswil,mean_kinder_0_12,6.5194331983805665,6.302027748132337,-0.21740545024822922
Adliswil,mean_erw_18_64,41.80747601720145,41.1356783919598,-0.671797625241652
Adliswil,mean_erw_65plus,76.8578313253012,74.91517721902454,-1.9426541062766631
Aesch (ZH),mean_kinder_0_12,6.318352059925093,7.536764705882353,1.21841264595726
Aesch (ZH),mean_erw_18_64,42.40686274509804,42.550324675324674,0.14346193022663556
Aesch (ZH),mean_erw_65plus,76.44514106583073,73.48728813559322,-2.9578529302375074
Aeugst am Albis,mean_kinder_0_12,7.060869565217391,6.857142857142857,-0.20372670807453463
Aeugst am Albis,mean_erw_18_64,45.447068403908794,43.82793017456359,-1.6191382293452037
Aeugst am Albis,mean_erw_65plus,74.34174311926606,73.97972972972973,-0.36201338953632956
Affoltern am Albis,mean_kinder_0_12,6.204780361757106,6.451784358390281,0.2470039966331754
Affoltern am Albis,mean_erw_18_64,41.48086670045616,40.9380046530724,-0.542862047383764
Affoltern am Albis,mean_erw_65plus,75.89450809956539,74.34988839285714,-1.5446197067082466
Altikon,mean_kinder_0_12,6.147368421052631,6.081081081081081,-0.06628733997155045
Altikon,mean_erw_18_64,43.379629629629626,43.907730673316706,0.5281010436870801
Altikon,mean_erw_65plus,73.8944099378882,74.04081632653062,0.1464063886424185
Andelfingen,mean_kinder_0_12,7.333333333333333,6.454918032786885,-0.8784153005464477
Andelfingen,mean_erw_18_64,42.30293896006029,41.476527900797166,-0.8264110592631226
Andelfingen,mean_erw_65plus,76.87179487179488,74.92408376963351,-1.9477111021613638
Bachenbülach,mean_kinder_0_12,6.675521821631879,6.360236220472441,-0.31528560115943804
Bachenbülach,mean_erw_18_64,42.700596421471175,42.17756638921918,-0.5230300322519952
Bachenbülach,mean_erw_65plus,75.73101952277658,73.18625954198474,-2.544759980791838
Bachs,mean_kinder_0_12,7.202702702702703,6.950819672131147,-0.25188303057155537
Bachs,mean_erw_18_64,45.40616966580977,42.73076923076923,-2.6754004350405367
Bachs,mean_erw_65plus,75.06338028169014,75.29702970297029,0.23364942128014832
Bassersdorf,mean_kinder_0_12,6.604166666666667,6.459531772575251,-0.14463489409141594
Bassersdorf,mean_erw_18_64,42.117669902912624,40.824893390191896,-1.292776512720728
Bassersdorf,mean_erw_65plus,75.398623853211,73.86397306397306,-1.5346507892379435
Bauma,mean_kinder_0_12,6.7675213675213675,6.630021141649048,-0.13750022587231925
Bauma,mean_erw_18_64,43.42665795491669,42.095133552872305,-1.331524402044387
Bauma,mean_erw_65plus,74.76384839650146,74.60686427457098,-0.15698412193047773
Benken (ZH),mean_kinder_0_12,6.632075471698113,6.905263157894737,0.27318768619662404
Benken (ZH),mean_erw_18_64,44.15642458100559,42.734545454545454,-1.4218791264601336
Benken (ZH),mean_erw_65plus,74.33136094674556,74.72413793103448,0.39277698428891483
Berg am Irchel,mean_kinder_0_12,6.267857142857143,6.226415094339623,-0.04144204851752065
Berg am Irchel,mean_erw_18_64,45.31073446327684,42.70217917675545,-2.608555286521387
Berg am Irchel,mean_erw_65plus,74.89375,73.33980582524272,-1.5539441747572766
Bezirk Affoltern,mean_kinder_0_12,6.697230058989485,6.513348946135832,-0.18388111285365305
Bezirk Affoltern,mean_erw_18_64,42.96984158928212,42.16228112142379,-0.8075604678583304
Bezirk Affoltern,mean_erw_65plus,75.18867078963879,73.86187993047199,-1.326790859166806
Bezirk Andelfingen,mean_kinder_0_12,6.743074968233799,6.712581063553826,-0.030493904679972594
Bezirk Andelfingen,mean_erw_18_64,43.648225789958076,42.1875892715442,-1.460636518413878
Bezirk Andelfingen,mean_erw_65plus,75.33400258138535,74.79420700830464,-0.5397955730807098
Bezirk Bülach,mean_kinder_0_12,6.5317635516311014,6.446458397772966,-0.08530515385813509
Bezirk Bülach,mean_erw_18_64,41.61796270988828,40.97551565346277,-0.6424470564255103
Bezirk Bülach,mean_erw_65plus,75.63784914220899,74.41271614532738,-1.2251329968816123
Bezirk Dielsdorf,mean_kinder_0_12,6.5089459849063,6.542329349007211,0.03338336410091092
Bezirk Dielsdorf,mean_erw_18_64,42.15672362679458,41.243533088031356,-0.9131905387632244
Bezirk Dielsdorf,mean_erw_65plus,75.1194273287423,73.95108647840239,-1.1683408503399164
Bezirk Dietikon,mean_kinder_0_12,6.3587403387600725,6.346827918417547,-0.01191242034252582
Bezirk Dietikon,mean_erw_18_64,41.234139069663065,40.93555423738543,-0.29858483227763344
Bezirk Dietikon,mean_erw_65plus,76.23336034263225,74.88625204582651,-1.347108296805743
Bezirk Hinwil,mean_kinder_0_12,6.528164995516426,6.570987654320987,0.042822658804561264
Bezirk Hinwil,mean_erw_18_64,42.37948001753845,41.37371278458844,-1.0057672329500065
Bezirk Hinwil,mean_erw_65plus,75.48894022807707,74.8464693417185,-0.6424708863585664
Bezirk Horgen,mean_kinder_0_12,6.591275371099667,6.368711834835708,-0.22256353626395864
Bezirk Horgen,mean_erw_18_64,42.70103482136113,41.94756497948016,-0.753469841880964
Bezirk Horgen,mean_erw_65plus,76.39622076707202,75.06754603399433,-1.3286747330776905
Bezirk Meilen,mean_kinder_0_12,6.703649635036497,6.505849627750961,-0.1978000072855357
Bezirk Meilen,mean_erw_18_64,43.6715137550404,42.93805460170673,-0.7334591533336692
Bezirk Meilen,mean_erw_65plus,76.70460342523988,75.43881152231972,-1.2657919029201565
Bezirk Pfäffikon,mean_kinder_0_12,6.681259801359122,6.503987467957847,-0.1772723334012749
Bezirk Pfäffikon,mean_erw_18_64,42.75578936375741,41.81948526382289,-0.9363040999345174
Bezirk Pfäffikon,mean_erw_65plus,75.41806997308727,74.16993745956438,-1.24813251352289
Bezirk Uster,mean_kinder_0_12,6.600500902789912,6.4166005291005295,-0.18390037368938295
Bezirk Uster,mean_erw_18_64,42.21189906186642,41.37924351438995,-0.8326555474764703
Bezirk Uster,mean_erw_65plus,76.00310142818853,74.06528322494167,-1.937818203246863
Bezirk Winterthur,mean_kinder_0_12,6.54076754679891,6.3309546463685376,-0.20981290043037237
Bezirk Winterthur,mean_erw_18_64,41.52293390631104,40.57537157107232,-0.9475623352387217
Bezirk Winterthur,mean_erw_65plus,75.9257038502511,75.27252081756245,-0.653183032688645
Bezirk Zürich,mean_kinder_0_12,6.29048713605936,5.934211539942994,-0.35627559611636617
Bezirk Zürich,mean_erw_18_64,40.28412733763911,40.00894408768344,-0.2751832499556741
Bezirk Zürich,mean_erw_65plus,76.54045421740399,76.78071013635467,0.24025591895068032
Birmensdorf (ZH),mean_kinder_0_12,6.264379414732593,6.1625,-0.10187941473259343
